boat,boatManufacturer,boatModel,boatLength,motorName,motorHP,motorProp,pdfUrl,localFilePath,status
Sea Vee 320Z,Sea,Vee 320Z,"32' 5""",2 x BF350,350,Solas Lexor Plus 16 X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/19 Sea Vee 320Z 2BF350A(19LX).pdf,honda_downloads\19_Sea_Vee_320Z_2BF350A19LX.pdf,Downloaded
Sea Vee 320Z,Sea,Vee 320Z,"32' 5""",2 x BF350,350,Solas Lexor Plus 15 5/8 X 23 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/19 Sea Vee 320Z 2BF350A(23L+).pdf,honda_downloads\19_Sea_Vee_320Z_2BF350A23L.pdf,Downloaded
Avalon Catalina Platinum,Avalon,Catalina Platinum,25',2 x BF250D,250,Solas Lexor 15 ⅜ x 18 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2022 Avalon 25 Catalina 2BF250D 18LX 2.pdf,honda_downloads\2022_Avalon_25_Catalina_2BF250D_18LX_2.pdf,Downloaded
Hewescraft 240 Ocean Pro ET HT,Hewescraft,240 Ocean Pro ET HT,"26' 8""",BF350,350,Honda Lexor Plus 16 X 18 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2023 Hewescraft 240 Ocean Pro ET HT BF350 18P.pdf,honda_downloads\2023_Hewescraft_240_Ocean_Pro_ET_HT_BF350_18P.pdf,Downloaded
North River SeaHawk 23 RTF,North,River SeaHawk 23 RTF,"25'2""",BF350,350,Honda Lexor Plus 16 X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2023 North River SeaHawk 23 RTF BF350 19P.pdf,honda_downloads\2023_North_River_SeaHawk_23_RTF_BF350_19P.pdf,Downloaded
Stabicraft 2500 Ultra Cab XL,Stabicraft,2500 Ultra Cab XL,25',BF350,350,Honda Lexor Plus 16 X 18 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2023 Stabicraft 2500 Ultra Cab XL BF350 18P.pdf,honda_downloads\2023_Stabicraft_2500_Ultra_Cab_XL_BF350_18P.pdf,Downloaded
Starcraft Patriot 16 SC,Starcraft,Patriot 16 SC,"16' 4""",BF40,40,Solas Honda 11 ⅜ x 12 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2023 Starcraft Patriot 16SC BF40 AL 3blade 12P.pdf,honda_downloads\2023_Starcraft_Patriot_16SC_BF40_AL_3blade_12P.pdf,Downloaded
Starcraft Patriot 16 SC,Starcraft,Patriot 16 SC,"16' 4""",BF40,40,Solas Honda 11 ⅜ x 10 x 4,https://cdn.powerequipment.honda.com/marine/pdf/props/2023 Starcraft Patriot 16SC BF40 AL 4blade 10P.pdf,honda_downloads\2023_Starcraft_Patriot_16SC_BF40_AL_4blade_10P.pdf,Downloaded
Bennington 24 LX ESP,Bennington,24 LX ESP,23',BF350,350,Honda Lexor HP3 16 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2024 Bennington 24 LX ESP BF350 17P 1st hole.pdf,honda_downloads\2024_Bennington_24_LX_ESP_BF350_17P_1st_hole.pdf,Downloaded
HewesCraft 290 Adventure,HewesCraft,290 Adventure,29',2 x BF350,350,Honda Lexor Plus 16 X 18 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2024 HewesCraft 290 Adventure twin BF350 16X18P.pdf,honda_downloads\2024_HewesCraft_290_Adventure_twin_BF350_16X18P.pdf,Downloaded
Hewescraft 270 Pacific Explorer,Hewescraft,270 Pacific Explorer,"27' 11""",2 x BF250DK1,250,Solas Lexor 15 ⅜ x 18 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2024 Hewescraft 270 Pacific Explorer twin BF250DK1 Lexor 18 9-9-2024.pdf,honda_downloads\2024_Hewescraft_270_Pacific_Explorer_twin_BF250DK1_Lexor_18_9-9-2024.pdf,Downloaded
Tahoe Cascade 2585EL,Tahoe,Cascade 2585EL,25',2 x BF350,350,Honda Lexor HP3 16 X 20 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2024 Tahoe Cascade 2585EL 2X BF350 Lexor HP 20P Test 5-22-24.pdf,honda_downloads\2024_Tahoe_Cascade_2585EL_2X_BF350_Lexor_HP_20P_Test_5-22-24.pdf,Downloaded
Tahoe Cascade 2585QL,Tahoe,Cascade 2585QL,25',BF350,350,Honda Lexor Plus 16 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2024 Tahoe Cascade 2585QL BF350 17P.pdf,honda_downloads\2024_Tahoe_Cascade_2585QL_BF350_17P.pdf,Downloaded
Viaggio 26 Diamante UWA,Viaggio,26 Diamante UWA,"28' 4""",BF350,350,Honda Lexor HP3 16 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2024 Viaggio 26 Diamante UWA BF350 Lexor HP 17P 6-13-2024 2nd hole.pdf,honda_downloads\2024_Viaggio_26_Diamante_UWA_BF350_Lexor_HP_17P_6-13-2024_2nd_hole.pdf,Downloaded
ALUMACraft Competitor 175X FSX,ALUMACraft,Competitor 175X FSX,"19' 2""",BF150D,150,Solas Lexor 15 ½ x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2025 ALUMACraft Competitor 175X Sport FSX BF150D Lexor 17 8-5-2025.pdf,honda_downloads\2025_ALUMACraft_Competitor_175X_Sport_FSX_BF150D_Lexor_17_8-5-2025.pdf,Downloaded
