ypbNumber,boatManufacturer,boatModel,boatTypeCodeName,motorName,motorNumberOfEngines,boatLength,powerMatched,testDate,performanceBulletinPageUrl,pdfUrl,localFilePath,status
PB_191Hybrid_F90XB_1-28-20_OCC,Nautic Star,191 Hybrid,OCC,F90XB,Single,227,Yes,2019-12-31T00:00:00-06:00,https://yamahaoutboards.com/outboards/115-30-hp/115-75-hp/f90/pb_191hybrid_f90xb_1-28-20-occ,https://yamahaoutboards.com/getmedia/118fbda3-1945-4baf-bcd3-54f960925019/pb_191hybrid_f90xb_1.28.20.occ_1,yamaha_downloads\PB_191Hybrid_F90XB_1-28-20_OCC.pdf,Downloaded
PB_27 CC_TW_F300XSB2_10-29-2024_OCC,Pair Marine,Pair Marine 27 CC,OCC,LF300XSB2 / F300XSB2,Twin,326,Yes,2024-10-29T00:00:00-05:00,https://yamahaoutboards.com/outboards/350-150-hp/v6-4-2l/f300-(4-2l)/pb__27-cc_tw_f300xsb2_10-29-2024_occ,https://yamahaoutboards.com/getmedia/944428e4-5ac0-4bf0-a10e-4b2c4d6105bd/pb_27%20cc_tw_f300xsb2_10-29-2024_occ,yamaha_downloads\PB_27_CC_TW_F300XSB2_10-29-2024_OCC.pdf,Downloaded
PB_35_FRE_T_XF450USA2_21XTOEC_4-22-2026_OCC,Freeman,Freeman 35,OCC,XF450USA2 / LXF450USA2,Twin,430,Yes,2026-04-22T00:00:00-05:00,https://yamahaoutboards.com/outboards/xto-offshore/v8-5-6l/xf450/pb_35_fre_t_xf450usa2_21xtoec_4-22-2026_occ,https://yamahaoutboards.com/getmedia/59426eb1-da91-4dc0-8773-b7173d2c19f0/pb_35_fre_t_xf450usa2_21xtoec_4-22-2026_occ,yamaha_downloads\PB_35_FRE_T_XF450USA2_21XTOEC_4-22-2026_OCC.pdf,Downloaded
PB_ABR_23_F225XCA_SWSII15_2016-01-08_BAY,Albury Brothers,Albury Brothers® 23,BAY,F225XCA,Single,278,Yes,2016-01-08T00:00:00-06:00,https://yamahaoutboards.com/outboards/350-150-hp/v6-4-2l/f225-(4-2l)/pb_abr_23_f225xca_swsii15_2016-01-08_bay,https://yamahaoutboards.com/getmedia/871dcae3-2f29-459f-93be-b56f3ce06407/pb_abr_23_f225xca_swsii15_2016-01-08_bay_1,yamaha_downloads\PB_ABR_23_F225XCA_SWSII15_2016-01-08_BAY.pdf,Downloaded
PB_ACR_20Flats_VF250_SWS20_FLT_02-13-26,Action Craft,Action Craft 20 Flats Master,FLT,VF250LB,Single,233,Yes,2026-02-13T00:00:00-06:00,https://yamahaoutboards.com/outboards/v-max-sho/v-max-4-2l/vf250/pb_acr_20flats_vf250_sws20_flt_02-13-26,https://yamahaoutboards.com/getmedia/9da513f1-b30c-4a4b-aafa-2f571bbb205f/pb_acr_20flats_vf250_sws20_flt_02-13-26,yamaha_downloads\PB_ACR_20Flats_VF250_SWS20_FLT_02-13-26.pdf,Downloaded
PB_ACT_17 Flyfisher_VF115LB_10-24-25_FLT,Action Craft,Action Craft 17 Flyfisher,FLT,VF115LB,Single,206,Yes,2025-10-24T00:00:00-05:00,https://yamahaoutboards.com/outboards/v-max-sho/v-max-in-line-4/vf115/pb_act_17-flyfisher_vf115lb_10-24-25_flt,https://yamahaoutboards.com/getmedia/93be667c-8514-4200-b09b-b17e5b3ad53f/pb_act_17%20flyfisher_vf115lb_10-24-25_flt,yamaha_downloads\PB_ACT_17_Flyfisher_VF115LB_10-24-25_FLT.pdf,Downloaded
PB_ALB_25EXPRESS_TW_F250XCA_09-03-20_OCC,Albemarle Boats,Albemarle 25 Express,OCC,F250XCA / LF250XCA,Twin,326,Yes,2020-09-01T00:00:00-05:00,https://yamahaoutboards.com/outboards/350-150-hp/v6-4-2l/f250-(4-2l)/pb_alb_25express_tw_f250xca_09-03-20_occ,https://yamahaoutboards.com/getmedia/a0a01677-eea0-4fdd-a8f4-c772a8715e07/pb_alb_25express_tw_f250xca_09-03-20_occ_1,yamaha_downloads\PB_ALB_25EXPRESS_TW_F250XCA_09-03-20_OCC.pdf,Downloaded
PB_ALB_27DC_TW_F250UCA_11-19-19_OCC,Albemarle Boats,Albemarle 27DC,OCC,F250UCA / LF250UCA,Twin,328,Yes,2019-11-19T00:00:00-06:00,https://yamahaoutboards.com/outboards/350-150-hp/v6-4-2l/f250-(4-2l)/pb_alb_27dc_tw_f250uca_11-19-19_occ,https://yamahaoutboards.com/getmedia/f9a7d025-3f45-4a8b-a57d-01f016c06919/pb_alb_27dc_tw_f250uca_11-19-19_occ_1,yamaha_downloads\PB_ALB_27DC_TW_F250UCA_11-19-19_OCC.pdf,Downloaded
PB_ALB_30EXPRESS_TR_F300_12-18-2020_OCC,Albemarle Boats,Albemarle 30 Express,OCC,F300XCA / F300ECA / LF300XCA,Triple,370,Yes,2020-12-18T00:00:00-06:00,https://yamahaoutboards.com/outboards/350-150-hp/v6-4-2l/f300-(4-2l)/pb_alb_30express_tr_f300_12-18-2020_occ,https://yamahaoutboards.com/getmedia/81e063b8-1cde-4af0-8435-1ecec546fc12/pb_alb_30express_tr_f300_12-18-2020_occ_1,yamaha_downloads\PB_ALB_30EXPRESS_TR_F300_12-18-2020_OCC.pdf,Downloaded
PB_ALB_31DC_TW_F300UCA_11-19-19_OCC,Albemarle Boats,Albemarle 31DC,OCC,F300UCA / LF300UCA,Twin,372,Yes,2019-11-19T00:00:00-06:00,https://yamahaoutboards.com/outboards/350-150-hp/v6-4-2l/f300-(4-2l)/pb_alb_31dc_tw_f300uca_11-19-19_occ,https://yamahaoutboards.com/getmedia/b9863661-3c0c-43c6-adae-53806a4f73fe/pb_alb_31dc_tw_f300uca_11-19-19_occ_1,yamaha_downloads\PB_ALB_31DC_TW_F300UCA_11-19-19_OCC.pdf,Downloaded
PB_ALB_31DC_TW_XF425UCA__11-19-19_OCC,Albemarle Boats,Albemarle 31DC,OCC,XF425USA2 / LXF425USA2,Twin,372,Yes,2019-11-19T00:00:00-06:00,https://yamahaoutboards.com/outboards/xto-offshore/v8-5-6l/xf425/pb_alb_31dc_tw_xf425uca__11-19-19_occ,https://yamahaoutboards.com/getmedia/1966e493-a98f-4c61-b246-4ce35f3254ba/pb_alb_31dc_tw_xf425uca__11-19-19_occ_1,yamaha_downloads\PB_ALB_31DC_TW_XF425UCA__11-19-19_OCC.pdf,Downloaded
PB_ALM_Classic 165 Sport_F70LB_7-22-25_ALM,Alumacraft,Alumacraft Classic 165 Sport,ALM,F70LB,Single,196,Yes,2025-07-22T00:00:00-05:00,https://yamahaoutboards.com/outboards/115-30-hp/70-50-hp/f70/pb_alm_classic-165-sport_f70la_7-22-25_alm,https://yamahaoutboards.com/getmedia/8d43c093-2564-4c28-96ce-9c5284a61d40/pb_alm_classic%20165%20sport_f70lb_7-22-25_alm,yamaha_downloads\PB_ALM_Classic_165_Sport_F70LB_7-22-25_ALM.pdf,Downloaded
PB_ALM_Competitor 175X Sport_F115XB_7-9-25_ALM,Alumacraft,Alumacraft Competitor 175X Sport,ALM,F115XB,Single,230,Yes,2025-07-09T00:00:00-05:00,https://yamahaoutboards.com/outboards/115-30-hp/115-75-hp/f115/pb_alm_competitor-175x-sport_f115xb_7-9-25_alm,https://yamahaoutboards.com/getmedia/29da0e79-0172-4ac4-8919-26c634875e17/pb_alm_competitor%20175x%20sport_f115xb_7-9-25_alm,yamaha_downloads\PB_ALM_Competitor_175X_Sport_F115XB_7-9-25_ALM.pdf,Downloaded
